year,doy,tmax,tmin,radiation,precip,humidity,wind,pressure,ozone
2021,1,290.1465759277344,276.5773620605469,104.5079345703125,0.0,0.005820409394800663,2.56597638130188,98652.0390625,26.0
2021,2,293.9216003417969,280.64276123046875,77.50957489013672,0.0,0.006604865659028292,3.10221004486084,97948.125,26.0
2021,3,295.6007385253906,279.5154724121094,108.08233642578125,0.0,0.007087029051035643,2.531519651412964,97667.9609375,26.0
2021,4,293.0392761230469,281.0377197265625,96.87979888916016,0.0,0.00690084882080555,2.1502716541290283,97668.0,26.0
2021,5,290.40301513671875,275.552490234375,39.885772705078125,0.0,0.006314239930361509,3.429914951324463,98063.046875,26.0
2021,6,280.48052978515625,268.2835998535156,24.713520050048828,1.326522215094883e-5,0.003406088799238205,4.271360874176025,98430.6484375,26.0
2021,7,271.33599853515625,266.4665222167969,19.381179809570312,0.0001498756028013304,0.002273449907079339,5.1808600425720215,98483.65625,26.0
2021,8,269.1902160644531,265.4488525390625,61.78108596801758,6.39174904790707e-5,0.0020731003023684025,4.997114658355713,98763.6015625,26.0
2021,9,269.8885192871094,262.8356628417969,108.1900863647461,0.0,0.0017068048473447561,3.5290417671203613,98929.328125,26.0
2021,10,268.328369140625,265.1645812988281,86.43815612792969,0.0,0.001606553327292204,1.232210397720337,99191.5703125,26.0
2021,11,270.9726257324219,261.3004150390625,68.77592468261719,0.0,0.0016379208536818624,1.783542275428772,99383.2578125,26.0
2021,12,270.2906799316406,267.2832336425781,31.98868179321289,0.00011524836008902639,0.0024434966035187244,4.072530269622803,98633.5,26.0
2021,13,275.7861022949219,266.35443115234375,110.08631134033203,9.407359175384045e-5,0.003261266741901636,4.310934543609619,96506.3984375,26.0
2021,14,275.4496765136719,267.9411315917969,74.88731384277344,9.703297109808773e-6,0.002904243068769574,4.106814861297607,96669.4296875,26.0
2021,15,270.45574951171875,264.9751892089844,84.30758666992188,4.039863142679678e-6,0.0021693974267691374,3.7131762504577637,98280.90625,26.0
2021,16,272.3093566894531,264.50164794921875,111.85816955566406,0.0,0.002022864529863,2.6398024559020996,98907.734375,26.0
2021,17,271.10986328125,260.998046875,126.84376525878906,0.0,0.0015965737402439117,2.3822412490844727,99168.8046875,26.0
2021,18,269.1195068359375,259.5432434082031,135.80870056152344,0.0,0.0015359069220721722,1.548175573348999,99231.1875,26.0
2021,19,279.008544921875,260.8595886230469,64.17694091796875,4.417996024130844e-6,0.002533838851377368,3.7777950763702393,98256.4375,26.0
2021,20,277.5070495605469,266.63946533203125,122.39749145507812,0.0,0.002682729857042432,3.9279582500457764,98614.7890625,26.0
2021,21,279.2675476074219,266.28076171875,133.47801208496094,0.0,0.0023525995202362537,2.5930280685424805,99225.6328125,26.0
2021,22,287.2709045410156,268.9967041015625,137.33657836914062,0.0,0.00307052512653172,2.972843885421753,98960.1640625,26.0
2021,23,284.9541015625,275.96966552734375,100.77426147460938,0.0,0.0044118305668234825,5.814180850982666,97941.7890625,26.0
2021,24,286.6978454589844,263.56390380859375,33.751338958740234,5.7825451222015545e-5,0.004731683060526848,6.069685459136963,97059.4921875,26.0
2021,25,273.06610107421875,267.097412109375,117.64581298828125,0.0,0.002108335494995117,2.7077670097351074,98013.90625,26.0
2021,26,272.62823486328125,269.0013122558594,83.07363891601562,0.0,0.002401984529569745,1.4754811525344849,97910.1171875,26.0
2021,27,275.852294921875,270.9736022949219,51.539920806884766,0.0,0.0026855459436774254,1.6276756525039673,98388.2421875,26.0
2021,28,287.4530944824219,271.96417236328125,105.94447326660156,4.829871613765135e-6,0.004026462789624929,3.805771827697754,98438.140625,26.0
2021,29,287.3009948730469,277.0126037597656,78.16766357421875,0.0,0.004697813186794519,4.878573894500732,97909.8671875,26.0
2021,30,288.49407958984375,270.4738464355469,151.2406463623047,0.0,0.0033629366662353277,3.6726174354553223,98523.8984375,26.0
2021,31,290.2747802734375,277.6886901855469,111.98390197753906,0.0,0.004588206764310598,4.66973352432251,98362.6171875,26.0
2021,32,289.4933166503906,263.18304443359375,29.661663055419922,0.00011321402416797355,0.0038231881335377693,4.368793487548828,98726.4296875,26.0
2021,33,272.74017333984375,265.61737060546875,126.4551773071289,7.006230589468032e-5,0.001696586492471397,5.5320844650268555,99056.078125,26.0
2021,34,274.58612060546875,263.1978454589844,164.910400390625,0.0,0.0015830635093152523,2.2736613750457764,99089.6484375,26.0
2021,35,277.4454650878906,266.55853271484375,127.30045318603516,0.0,0.0021294893231242895,3.2990362644195557,98595.4140625,26.0
2021,36,273.558837890625,271.6743469238281,31.23825454711914,0.00016473038704134524,0.0030440285336226225,3.56278395652771,97917.6875,26.0
2021,37,274.5343017578125,272.1632995605469,44.24737548828125,5.876422073924914e-5,0.003615450346842408,2.4666335582733154,97152.34375,26.0
